日期,策略收益,累计策略,累计基准
2025-02-28,-0.0,1.0,0.9995951464566498
2025-03-03,-0.0,1.0,0.9987589101390941
2025-03-04,0.0,1.0,1.0032189571302796
2025-03-05,0.0,1.0,1.0170147484271856
2025-03-06,-0.0,1.0,1.0138727312077096
2025-03-07,-0.0,1.0,1.0099621117853874
2025-03-10,0.0,1.0,1.0132047190051892
2025-03-11,-0.0,1.0,1.0095584407465132
2025-03-12,-0.0,1.0,1.005534789320247
2025-03-13,0.0,1.0,1.0299502677177284
2025-03-14,-0.0,1.0,1.0274389623965379
2025-03-17,0.0,1.0,1.030250058309039
2025-03-18,0.0,1.0,1.0308786108513246
2025-03-19,-0.0,1.0,1.0218359991225818
2025-03-20,-0.0,1.0,1.0063358846895671
2025-03-21,0.0,1.0,1.0115165396258408
2025-03-24,-0.0,1.0,1.0108601211085098
2025-03-25,-0.0,1.0,1.007534070203286
2025-03-26,0.0,1.0,1.010890095026317
2025-03-27,-0.0,1.0,1.0064568600387962
2025-03-28,-0.0,1.0,0.9992948417329586
2025-03-31,0.0,1.0,0.9993921412860465
2025-04-01,-0.0,1.0,0.9985442598700632
2025-04-02,-0.0,1.0,0.9926619684735571
2025-04-03,-0.0,1.0,0.9227238209125767
2025-04-07,0.0,1.0,0.9384867084054763
2025-04-08,0.029611897142484578,1.0296118971424846,0.9477501656984403
2025-04-09,0.03931936208103615,1.0700955801291725,0.96017180967426
2025-04-10,0.01237038183910344,1.0833330710597073,0.9641310403131979
2025-04-11,0.0,1.0833330710597073,0.9663483647389819
2025-04-14,0.0,1.0833330710597073,0.9668863014491317
2025-04-15,0.0,1.0833330710597073,0.9698645675052868
2025-04-16,-0.0,1.0833330710597073,0.9697107648035366
2025-04-17,0.0,1.0833330710597073,0.9697881160202451
2025-04-18,0.0,1.0833330710597073,0.9729648371754327
2025-04-21,-0.0,1.0833330710597073,0.9727261769242127
2025-04-22,0.0,1.0833330710597073,0.9734794322754887
2025-04-23,-0.0,1.0833330710597073,0.9728303401445856
2025-04-24,0.0,1.0833330710597073,0.9735080437424866
2025-04-25,-0.0,1.0833330710597073,0.972126338675401
2025-04-28,-0.0,1.0833330710597073,0.9704445859508143
2025-04-29,-0.0,1.0833330710597073,0.9692861942833783
2025-04-30,0.0,1.0833330710597073,0.9790474859607807
2025-05-06,0.0,1.0833330710597073,0.9849817561409973
2025-05-07,0.0,1.0833330710597073,0.9904493740656778
2025-05-08,-0.0,1.0833330710597073,0.9887168250618569
2025-05-09,0.0,1.0833330710597073,1.000144188426228
2025-05-12,0.0,1.0833330710597073,1.0015962782162608
2025-05-13,0.0,1.0833330710597073,1.0136661785236787
2025-05-14,-0.0,1.0833330710597073,1.0044088136994287
2025-05-15,-0.0,1.0833330710597073,0.9997523681387344
2025-05-16,-0.0,1.0833330710597073,0.9966829721180624
2025-05-19,0.0,1.0833330710597073,1.0020878401856526
2025-05-20,0.0,1.0833330710597073,1.006769066927107
2025-05-21,-0.0,1.0833330710597073,1.006122391218394
2025-05-22,-0.0,1.0833330710597073,0.9980014131956768
2025-05-23,-0.0,1.0833330710597073,0.9923029241253472
2025-05-26,-0.0,1.0833330710597073,0.9869791347342273
2025-05-27,-0.0,1.0833330710597073,0.986166728452527
2025-05-28,0.0,1.0833330710597073,0.9919412577019937
2025-05-29,-0.0,1.0833330710597073,0.9871938878297348
2025-05-30,0.0,1.0833330710597073,0.9902222303797907
2025-06-03,0.0,1.0833330710597073,0.9945229991593694
2025-06-04,0.0,1.0833330710597073,0.996788472082626
2025-06-05,-0.0,1.0833330710597073,0.995870334476791
2025-06-06,0.0,1.0833330710597073,0.9987653625004761
2025-06-09,-0.0,1.0833330710597073,0.9936804133069095
2025-06-10,0.0,1.0833330710597073,1.0011764634206264
2025-06-11,-0.0,1.0833330710597073,1.0005528208425785
2025-06-12,-0.0,1.0833330710597073,0.9933505973845533
2025-06-13,0.0,1.0833330710597073,0.9958217489667944
2025-06-16,-0.0,1.0833330710597073,0.9949434823270992
2025-06-17,0.0,1.0833330710597073,0.9961239816869145
2025-06-18,-0.0,1.0833330710597073,0.9879288143616313
2025-06-19,0.0,1.0833330710597073,0.988842196242943
2025-06-20,0.0,1.0833330710597073,0.9917360674687712
2025-06-23,0.035873854325366716,1.1221964038367553,1.0035951992066334
2025-06-24,0.0,1.1221964038367553,1.0179991319903028
2025-06-25,-0.0,1.1221964038367553,1.0143882003328146
2025-06-26,-0.0,1.1221964038367553,1.0081513375398115
2025-06-27,0.0,1.1221964038367553,1.011832859573199
2025-06-30,0.0,1.1221964038367553,1.013550807217402
2025-07-01,0.0,1.1221964038367553,1.0137880536045745
2025-07-02,0.0,1.1221964038367553,1.0200560214066228
2025-07-03,0.0,1.1221964038367553,1.0236898576616804
2025-07-04,-0.0,1.1221964038367553,1.0193123289176316
2025-07-07,0.0,1.1221964038367553,1.0278670033102684
2025-07-08,-0.0,1.1221964038367553,1.0260541468285487
2025-07-09,0.0,1.1221964038367553,1.030841670439757
2025-07-10,0.0,1.1221964038367553,1.032071140908854
2025-07-11,0.0,1.1221964038367553,1.0328065558665127
2025-07-14,0.0,1.1221964038367553,1.0331655745081045
2025-07-15,-0.0,1.1221964038367553,1.030116126823812
2025-07-16,0.0,1.1221964038367553,1.0371312318018036
2025-07-17,0.0,1.1221964038367553,1.0433156273853346
2025-07-18,0.0,1.1221964038367553,1.050271478606426
2025-07-21,0.0,1.1221964038367553,1.0588448931243473
2025-07-22,0.0,1.1221964038367553,1.0590531938584744
2025-07-23,0.0,1.1221964038367553,1.066577084240618
2025-07-24,-0.0,1.1221964038367553,1.0609541726302827
2025-07-25,0.0,1.1221964038367553,1.06318057149259
2025-07-28,0.0,1.1221964038367553,1.0673451723110834
2025-07-29,-0.0,1.1221964038367553,1.067142912632432
2025-07-30,-0.0,1.1221964038367553,1.047696703642812
2025-07-31,-0.0,1.1221964038367553,1.0423850477758816
2025-08-01,0.0,1.1221964038367553,1.0464399327442881
2025-08-04,0.0,1.1221964038367553,1.0548582592295066
2025-08-05,0.0,1.1221964038367553,1.0574379698639778
2025-08-06,0.0,1.1221964038367553,1.0577415136216692
2025-08-07,-0.0,1.1221964038367553,1.0552482029338108
2025-08-08,0.0,1.1221964038367553,1.0597580950593257
2025-08-11,0.0,1.1221964038367553,1.0652373580824341
2025-08-12,0.0,1.1221964038367553,1.0736568927787478
2025-08-13,-0.0,1.1221964038367553,1.0728177002000021
2025-08-14,0.0,1.1221964038367553,1.0802829537841023
2025-08-15,0.0,1.1221964038367553,1.089809621149475
2025-08-18,-0.0,1.1221964038367553,1.0856866907604543
2025-08-19,0.0,1.1221964038367553,1.0980314462387086
2025-08-20,0.0,1.1221964038367553,1.102317999257955
2025-08-21,0.0,1.1221964038367553,1.1254351905671538
2025-08-22,0.0,1.1221964038367553,1.1488857967253752
2025-08-25,-0.011163822998532247,1.1096684018147325,1.1446104774986519
2025-08-26,-0.0,1.1096684018147325,1.1275248559227573
2025-08-27,0.0,1.1096684018147325,1.147487433769148
2025-08-28,0.0,1.1096684018147325,1.1559647312384576
2025-08-29,0.0,1.1096684018147325,1.1628931792036463
2025-09-01,-0.0,1.1096684018147325,1.1543435947215803
2025-09-02,-0.0,1.1096684018147325,1.146471405357987
2025-09-03,-0.0,1.1096684018147325,1.1221475196441653
2025-09-04,0.0,1.1096684018147325,1.14659873024212
2025-09-05,0.0,1.1096684018147325,1.1484620488170263
2025-09-08,-0.0,1.1096684018147325,1.140412046769494
2025-09-09,-0.004105486731791785,1.1051126729143934,1.142753020032888
2025-09-10,0.0,1.1051126729143934,1.1691459029806002
2025-09-11,-0.0,1.1051126729143934,1.1624527991127744
2025-09-12,0.0,1.1051126729143934,1.1652953599269875
2025-09-15,-0.0,1.1051126729143934,1.1627969336219388
2025-09-16,0.0,1.1051126729143934,1.16991414529078
2025-09-17,-0.0,1.1051126729143934,1.1563117448889546
2025-09-18,0.0,1.1051126729143934,1.1572912956076897
2025-09-19,-0.00919096843024425,1.0949556172257744,1.162609609488953
2025-09-22,0.0012514460682861994,1.0963258951278996,1.1618821378765798
2025-09-23,-0.020484501219208084,1.0738682059925027,1.1737824259115341
2025-09-24,-0.012008880808418443,1.0609722507027886,1.1808303325354281
2025-09-25,0.01891321136718016,1.0810386431350432,1.169663685701418
2025-09-26,0.0,1.0810386431350432,1.1876593730047673
2025-09-29,0.0,1.0810386431350432,1.1929653991221267
2025-09-30,0.0,1.0810386431350432,1.2106485967643568
2025-10-09,-0.0,1.0810386431350432,1.1868319540575443
2025-10-10,-0.0,1.0810386431350432,1.1809565520349423
2025-10-13,-0.0,1.0810386431350432,1.1668399935455847
2025-10-14,0.0,1.0810386431350432,1.1841208825997498
2025-10-15,-0.005268407126701735,1.0753432914433105,1.1872400980481321
2025-10-16,0.0451181397073781,1.1238607803000416,1.1604570657431637
2025-10-17,-0.010626652204266396,1.1119179026617776,1.1666229525609817
2025-10-20,0.0,1.1119179026617776,1.184527972618957
2025-10-21,0.006641461247346214,1.1193026623225362,1.1805944743056838
2025-10-22,-0.005998689187100226,1.1125883135449695,1.1841354839593676
2025-10-23,0.0,1.1125883135449695,1.1981041522693556
2025-10-24,0.0,1.1125883135449695,1.2123289356248959
2025-10-27,0.010197415251924635,1.123933838582626,1.2061476248356504
2025-10-28,-0.023812924754682108,1.097169686655217,1.2205085761522754
2025-10-29,-0.0,1.097169686655217,1.2107588781600624
2025-10-30,-0.0,1.097169686655217,1.1929587411077935
